movieId,title,Genre_Thriller,Genre_Sci-Fi,Genre_Mystery,Genre_Documentary,Genre_Western,Genre_Comedy,Genre_Adventure,Genre_Film-Noir,Genre_Action,Genre_Horror,Genre_Fantasy,Genre_Drama,Genre_Musical,Genre_Crime,Genre_War,Genre_Romance,Genre_Animation,Genre_Children's,year,rating,audience,runtime,imdbId,cleaned_mov_id
1,Toy Story (1995),False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,1995.0,8.3,'G',81.0,114709.0,8871.0
2,Jumanji (1995),False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,1995.0,7.0,'PG',104.0,113497.0,4645.0
3,Grumpier Old Men (1995),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1995.0,6.6,'PG-13',101.0,113228.0,3661.0
4,Waiting to Exhale (1995),False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,1995.0,5.9,'R',124.0,114885.0,9225.0
5,Father of the Bride Part II (1995),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1995.0,6.0,'PG',106.0,113041.0,2967.0
6,Heat (1995),True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,1995.0,8.3,'R',170.0,113277.0,3845.0
7,Sabrina (1995),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1995.0,6.3,'PG',127.0,114319.0,7328.0
8,Tom and Huck (1995),False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1995.0,5.5,'PG',97.0,112302.0,8815.0
9,Sudden Death (1995),False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1995.0,5.8,'R',111.0,114576.0,8135.0
10,GoldenEye (1995),True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,1995.0,7.2,'PG-13',130.0,113189.0,3529.0
11,"American President, The (1995)",False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,1995.0,6.8,'PG-13',114.0,112346.0,434.0
12,Dracula: Dead and Loving It (1995),False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,1995.0,5.8,'PG-13',88.0,112896.0,2539.0
13,Balto (1995),False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,1995.0,7.1,'G',78.0,112453.0,785.0
14,Nixon (1995),False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1995.0,7.1,'R',192.0,113987.0,6140.0
15,Cutthroat Island (1995),False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,1995.0,5.7,'PG-13',124.0,112760.0,2096.0
16,Casino (1995),False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1995.0,8.2,'R',178.0,112641.0,1598.0
17,Sense and Sensibility (1995),False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1995.0,7.7,'PG',136.0,114388.0,7503.0
18,Four Rooms (1995),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1995.0,6.7,'R',98.0,113101.0,3170.0
19,Ace Ventura: When Nature Calls (1995),False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1995.0,6.4,'PG-13',90.0,112281.0,208.0
20,Money Train (1995),True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,1995.0,5.7,'R',110.0,113845.0,5755.0
